date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:30	11379/11379	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/terminology	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse402c.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:31	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.112.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:31	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1136fb5.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:31	11379/11379	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/warrior-groups	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse9292.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:32	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.115.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:32	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1166fb5.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:32	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/origins-of-the-genre	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse3714.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:33	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.118.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:33	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1196fb5.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:33	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/poets-and-composers	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse39f9.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:34	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.11b.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:34	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.11c6fb5.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:34	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/metres-and-structures	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuseb8fe.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:35	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.11e.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:35	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.11f6fb5.delayed	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:35	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/transmission-of-texts	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse3bd6.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:36	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.121.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:36	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1226fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:36	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/gaelic-ballads-general-background/performance	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbusea75e.html	(from https://sites.google.com/site/deansbook/gaelic-ballads-general-background)
14:52:36	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.124.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:36	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1256fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:36	11379/11379	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/elegies-and-death-tales	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse0020.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:37	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.127.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:37	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1286fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:37	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/eulogy	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse052d.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:38	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.12a.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:38	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.12b6fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:38	11380/11380	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/adventure-narratives	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbuse14e1.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:40	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.12d.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:40	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.12e6fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:40	11379/11379	---MC-	200	added ('OK')	text/html	etag:%221305808005703|#public|en|||0%22	https://sites.google.com/site/deansbook/system/app/pages/reportAbuse?src=/the-sample/rivalries-and-debates	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/system/app/pages/reportAbusee154.html	(from https://sites.google.com/site/deansbook/the-sample)
14:52:40	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.ico	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/_/rsrc/1297442239311/favicon.130.delayed	(from https://sites.google.com/site/deansbook/the-sample)
14:52:40	0/0	---M--	302	error ('')			https://sites.google.com/site/deansbook/favicon.ico?attredirects=0	C:/My%20Web%20Sites/BDL/sites.google.com/site/deansbook/favicon.1316fb5.delayed	(from https://sites.google.com/site/deansbook/the-sample)
