NS049012,O siud an taobh a ghabhainn,,,"O, siud an taobh a ghabhainn",Falbhaidh sinn air bhàrr nan cuantan,Homeland,"Immigration , Clan Macdonald",Four line verse / Four line chorus,Ontario,Anna,Gillis,,1759 - 1847,Female,Morar,Glengarry,,Sound Recording,Margaret MacLean,Boisdale,1988,John Shaw,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/104709?l=en  ,"An emigrant song. It names places from which the people came, including Morar, Arisaig, Moidart, Knoydart, Eigg and Uist. The composer speaks optimistically of leaving the land of the lairds, and going to a land across the sea. It is a land where there will be cattle in the folds.","Composed by Anna Gillies of Morar, who sailed from Greenock to Quebec on the 'MacDonald' in the autumn of 1786.
See: The Emigrant Experience, ed. Margaret MacDonell (1982), p. 132. ",,
NS049013,O gur mise a th' air mo leònadh,Blàr Inbhir Lòchaidh,,N hì ri ri ri hó hò,O gur mise th' air mo leònadh,Lament,"War , Death , Family , Loss",One line verse / two line chorus,Scotland,,Campbell,,17th century,Female,,,,Sound Recording,Angus MacDonald,Upper South River,20 November 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/40721?l=en,"This song laments loved ones who have been killed at the Battle of Inverlochy. The song says that it was the ""grim Irish"" who gave strength to Clan Donald. The person in the song says their livestock were killed and their crops ruined.","This recording is a copy of the original which was recorded on wax cylinder using a clockwork Ediphone recorder.
 
23 couplets with a refrain. Composed by a Campbell woman after the Covenanter defeat at the hands of Royalist Irish and Highlanders led by Alasdair MacColla.","See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 205-6.",
NS049014,O gur mise a th' air mo leònadh,Blàr Inbhir Lòchaidh,,N hì ri ri ri hó hò,O gur mise th' air mo leònadh,Lament,"War , Death , Family , Loss",One line verse / two line chorus,Scotland,,Campbell,,17th century,Female,,,,Sound Recording,Angus MacDonald,Upper South River,20 October 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/41494?l=en ,"In this song a man is lamenting what happened at the Battle of Inverlochy. A band of Irishmen came over to Scotland to fight with the MacDonalds. They killed his father, his wife and his children. They also killed his cattle and sheep and they ruined his oats and barley.",Copy of Ediphone wax cylinder recording.,"See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 205-6.",
NS049015,O gur mise a th' air mo leònadh,Blàr Inbhir Lòchaidh,,N hì ri ri ri hó hò,O gur mise th' air mo leònadh,Lament,"War , Death , Family , Loss",One line verse / two line chorus,Scotland,,Campbell,,17th century,Female,,,,Sound Recording,Angus MacDonald,Upper South River,04 October 1937,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/43307?l=en ,"The woman who composed this song tells of her grief following the infamous Battle of Inverlochy. She describes how the Irish came to help the MacDonalds. Her father and husband, four young sons and nine foster children were killed. Her cattle were slaughtered, her sheep were roasted and her oats and barley were destroyed.","Copied from Ediphone wax cylinder recording. Twelve lines sung. Each line is repeated. The song was composed by a Campbell woman after the Battle of Inverlochy in 1645, when the parliamentary forces under the Duke of Argyll were defeated by the Royalists under Montrose and Alasdair MacDonald. ","See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 205-6.",
NS049018,Òran a' Bhotail,,,,Is nuair a shuidheas sinn socair ,"Drinking , Humorous","Praise , Merriment , Bottle",Four line verse,Scotland,Duncan,MacIntyre,Donnchadh Bàn Mac an t-Saoir,1724 - 1812,Male,Argyll,,,Sound Recording,Angus MacDonald,Upper South River,26 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50076?l=en ,"In this song the bard praises whisky and he gives an outline of things that happen if you drink it. He says that it will help you to sing, that you will be lifted in your spirits but that it may also give you a headache.","See: The Songs of Duncan Ban MacIntyre, ed. Hugh Angus MacLeod (1978), p. 306.",,
NS049019,Òran a' Ghunna,,,Horo mo chuid chuideachd thu,Nuair a chaidh mi do Ghleann-Lòcha,Praise,"Gun , Musket",Four line verse / Six line chorus,Scotland,Duncan,MacIntyre,Donnchadh Bàn Mac an t-Saoir,1724 - 1812,Male,Argyll,,,Sound Recording,Angus MacDonald,Upper South River,26 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50077?l=en ,In this song the bard praises his gun and says that his is sad when he doesn't have it with him. He gives details about the places he went with his gun and how he used to go shooting. ,,,
NS049020,A' Choille Ghruamach,,Coire Cheathaich,,Gu bheil mi 'm ònrachd sa choille ghruamaich,Complaint,"Emigrant , Forest",Eight line verse,Nova Scotia,John,MacLean,"Iain Ailein , Bàrd Thighearna Cholla , Am Bàrd MacGilleEathain , Bàrd Amhainn Bhàrnaidh",1787 - 1848,Male,"Tiree , James River , Glenbard",Pictou,,Sound Recording,Angus MacDonald,Upper South River,26 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50079?l=en ,In this song the bard tells that he is sad because he is in the gloomy forest and he is so far away from the place where he was raised. It is not easy for him to make a new life in a new country and he is missing what he left behind. People are going to the new country expecting an easier life but he says that they have been deceived.,,,
NS049021,Fhir a Dhìreas am Bealach,,,’S air faillirinn illirinn,'S thig trì nithean gun iarraidh,Love,Man,Eight line verse / four line chorus,Scotland,,,Nighean Fir na Rèilig,,Female,,,,Sound Recording,Angus MacDonald,Upper South River,26 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50080?l=en ,"In this song it is said that three things come without being asked - fear, jealousy and love. The bard says that she sends her wishes to the glen and that she will not go with another man. If she saw her love coming she would be happy but if he doesn't come for her she knows that it would be because she is not as rich as the other girl.",,,
NS049022,Òran a' Mhathain,Òran a' Bhear,Mòr Chaluim,"Mòr o Chaluim, mòr o Chaluim",Moch 'sa mhadainn rinn mi triall,"Humorous, Nature","Man , Bear",Eight line verse / four line chorus,Nova Scotia,Alexander,MacDonald,,,Male,,Antigonish,,Sound Recording,Angus MacDonald,Upper South River,27 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50214?l=en,A humorous song about a bear that broke into a byre. In this extract the informant tells the story of a bear that killed a lamb. He then wanted to kill the bear and he waited for him all night but the bear didn't appear. He then hung the dead lamb in the byre but when he awoke the next morning the bear had broken into the byre and had eaten the lamb. ,,,
NS049023,Teanntachd Mhòr na Fèinne,,,,'S an oidhche chaidh Pàdraig ’na mhuir,"dialogue , Ballad","The Fenians , Ossian , St. Patrick",Four line verse,Scotland,,,,,,,,,Sound Recording,Angus MacDonald,Upper South River,27 May 1953,John Lorne Campbell,Tobar an Dualchais,,,,,,,,https://www.tobarandualchais.co.uk/track/50215?l=en ,A Fingalian ballad. A Viking king goes to Ireland to do battle with the King of Ireland. They are fighting about a woman. The Viking loses the battle.,"See: Songs Remembered in Exile, ed. John Lorne Campbell (1990), p. 219-22.",,
